Date,Subways_Ridership,Subways_Percentage_Prepandemic,Buses_Ridership,Buses_Percentage_Prepandemic,LIRR_Ridership, LIRR_Percentage_Prepandemic,Metronorth_Ridership,Metronorth_Percentage_Prepandemic,Access-A-Ride_Total Scheduled,Acces-A-Ride_Percentage_Prepandemic,Bridges_and_Tunnel_Total_Traffic,Bridges_and_Tunnels_Percentage_Prepandemic,Staten_Island_Railway_Ridership,Staten_Island_Rallway_Percentage_Prepandemic,Day_of_Week,Total_Ridership,Subway_Ridership_Ratio
2020-04-05,227303,9,9748,1,2969,3,3601,3,2763,15,209151,24,300,9,Sunday,253369,0.8971223788229815
2020-04-06,445454,8,22418,1,10127,3,9832,3,7093,25,335768,36,819,5,Monday,510249,0.8730129799372464
2020-04-07,434986,8,21623,1,9312,3,9589,3,7041,24,335469,36,732,5,Tuesday,497133,0.874989188004015
2020-04-08,427485,8,20361,1,9039,3,9292,3,6950,24,324881,35,721,4,Wednesday,486538,0.8786261299220205
2020-04-09,404635,7,18734,1,8413,3,8931,3,6243,22,303480,32,690,4,Thursday,459447,0.8807000589839524
2020-04-10,400275,7,17135,1,8247,3,9573,3,5378,19,314099,33,672,4,Friday,452365,0.8848496236446233
2020-04-11,257061,8,9718,1,2749,2,4179,3,4235,25,254754,28,406,8,Saturday,283425,0.9069806827202964
2020-04-12,198399,8,7041,1,2245,2,3281,3,2525,14,217871,25,294,9,Sunday,218007,0.910057933919553
2020-04-13,363312,7,14408,1,8192,3,8824,3,6205,21,284608,30,649,4,Monday,409144,0.8879807598302798
2020-04-14,430155,8,17937,1,8816,3,9592,3,6585,23,356104,38,791,5,Tuesday,484437,0.8879482781042736
2020-04-15,419059,8,16895,1,8596,3,9492,3,6928,24,340212,36,792,5,Wednesday,470937,0.8898408916691617
2020-04-16,420223,8,16632,1,8462,3,9528,3,6563,23,346341,37,790,5,Thursday,471477,0.8912905613635448
2020-04-17,432368,8,16350,1,8271,3,9989,3,7048,24,378350,40,738,5,Friday,483328,0.8945643538135594
2020-04-18,254453,8,8115,1,2449,2,3965,3,4202,25,254734,28,339,7,Saturday,277097,0.918281323868537
2020-04-19,224411,9,6929,1,2159,2,3884,4,2742,15,276406,32,340,10,Sunday,244312,0.918542683126494
2020-04-20,437852,8,16522,1,8912,3,10063,4,7050,24,371776,40,770,5,Monday,489871,0.8938108195831147
2020-04-21,422107,8,15231,1,8264,3,9374,3,6613,23,356098,38,753,5,Tuesday,470207,0.8977046279617275
2020-04-22,458781,8,16487,1,8674,3,9694,3,7496,26,398703,42,793,5,Wednesday,510123,0.8993536852876659
2020-04-23,453520,8,15786,1,8425,3,9527,3,6969,24,386937,41,780,5,Thursday,503044,0.9015513553486375
2020-04-24,443956,8,14237,1,7821,3,9722,3,7040,24,386935,41,688,4,Friday,489973,0.906082580060534
2020-04-25,295387,9,8832,1,2869,3,4987,3,4719,28,350299,38,449,9,Saturday,320907,0.9204754025309513
2020-04-26,218787,9,5498,1,1903,2,3495,3,2506,13,231540,27,309,9,Sunday,235181,0.93029198787317
2020-04-27,462888,8,15283,1,8828,3,10243,4,6922,24,384123,41,812,5,Monday,512525,0.9031520413638359
2020-04-28,489247,9,16380,1,9167,3,10531,4,7542,26,436346,46,826,5,Tuesday,541705,0.9031613147377262
2020-04-29,477799,9,15406,1,9100,3,10165,4,7844,27,410502,44,790,5,Wednesday,527876,0.9051349180489358
2020-04-30,465869,8,14062,1,9335,3,9971,3,7253,25,405168,43,764,5,Thursday,513299,0.9075977159511318
2020-05-01,494549,9,14893,1,6200,2,9206,3,8332,28,445621,46,763,4,Friday,539741,0.9162709521789154
2020-05-02,325865,10,8912,1,3959,3,5908,4,5493,32,401938,42,489,10,Saturday,353556,0.9216786025410402
2020-05-03,258865,11,6404,1,3314,3,4839,5,3263,19,353314,41,334,9,Sunday,279826,0.925092736200353
2020-05-04,511866,9,16315,1,11158,3,10764,4,8287,28,447424,46,897,5,Monday,566418,0.9036895013929642
2020-05-05,522085,9,16377,1,13265,4,10604,4,8445,28,462085,48,894,5,Tuesday,578708,0.902156182392502
